FID,ID,ROUTE_NAME,Shape__Length
1,1,SKIP BERTMAN/S STADIUM EXPRESS SHUTTLE,2357.01182487997
2,2,PURPLE TRAIL & GOLD TRAIL,5142.49149616798
3,3,PURPLE UNION ROUTE,5242.77264874623
4,4,NICHOLSON/BEN HUR & BURBANK/BEN HUR,10374.6798929141
5,5,NIGHT D TRAIL,7830.55010884195
6,6,DOWNTOWN/VET,9938.53336687776
7,7,NIGHT C TRAIL,9530.57994189901
8,8,TIGERLAND A & B TRAIL,7089.27513576911
9,9,NIGHT A TRAIL,15735.7819595729
10,11,FOOTBALL ROUTE,14402.0634906806
11,12,SUNDAY SHUTTLE,21823.7578170982
12,13,NIGHT B ROUTE,18805.412949274
13,14,HIGHLAND BURBANK TRAIL,8660.53777346521
14,15,GARDEN DISTRICT-PERKINS,18799.8330625959
